Caught,Category,Subcategory,Aircraft,ICAO Code,Rarity,Observed Aircraft,"Paper
(0 XP)","Bronze
(15,000 XP)","Silver
(50,000 XP)","Gold
(100,000 XP)","Platinum
(350,000 XP)","Cyber
(750,000 XP)",Glow
FALSE,Jet & Rocket,3+ Engine,AEROSPATIALE - BRITISH AEROSPACE Concorde,CONC,14.00,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,AIRBUS A340-200,A342,8.74,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,AIRBUS A340-300,A343,4.70,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,AIRBUS A340-500,A345,12.61,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,AIRBUS A340-600,A346,5.68,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,AIRBUS A380,A388,3.10,188,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,ANTONOV An-124 Ruslan,A124,9.38,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BERIEV A-50,A50,14.87,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING 707-300,B703,14.00,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING 727-100,B721,11.65,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING 727-200,B722,7.61,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING 727-200RE Super 27,R722,10.60,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING 747-100,B741,11.73,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING 747-200,B742,7.93,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING 747-300,B743,10.92,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING 747-400,B744,3.12,225,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING 747-8,B748,3.38,135,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING B-52 Stratofortress,B52,8.81,57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING C-135 Stratolifter,C135,10.01,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING C-17 Globemaster 3,C17,4.76,240,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING Dreamlifter,BLCF,8.23,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING E-3 Sentry,E3TF,7.64,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING E-3D Sentry,E3CF,14.00,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING E-6 Mercury,E6,8.63,117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING KC-135 Stratotanker,K35R,5.28,377,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING KC-135E Stratotanker,K35E,10.47,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING MD-10,DC10,8.91,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING MD-11,MD11,5.23,70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING RC-135,R135,7.45,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOEING WC-135R,W135,9.49,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BOOM XB-1,XB1,15.76,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BRITISH AEROSPACE Avro RJ-100,RJ1H,6.89,27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BRITISH AEROSPACE Avro RJ-70,RJ70,11.10,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BRITISH AEROSPACE Avro RJ-85,RJ85,6.86,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BRITISH AEROSPACE BAe-146-100,B461,14.00,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BRITISH AEROSPACE BAe-146-200,B462,7.96,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,BRITISH AEROSPACE BAe-146-300,B463,7.80,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,DASSAULT Falcon 50,FA50,6.70,132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,DASSAULT Falcon 7X,FA7X,6.52,113,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,DASSAULT Falcon 8X,FA8X,7.42,51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,DASSAULT Falcon 900,F900,5.95,245,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,DOUGLAS DC-8-60,DC86,14.00,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,DOUGLAS DC-8-70,DC87,9.99,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,ILYUSHIN Il-62,IL62,9.07,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,ILYUSHIN Il-76,IL76,6.09,128,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,ILYUSHIN Il-96,IL96,8.37,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,KAWASAKI P-1,P1,8.20,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,LOCKHEED C-5 Super Galaxy,C5M,6.94,49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,LOCKHEED C-5A/B Galaxy,C5,11.80,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,LOCKHEED L-1011 TriStar,L101,14.29,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,ROCKWELL B-1 Lancer,B1,10.23,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,RUTAN 348 White Knight Two,WHK2,14.00,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,SCALED 351 Stratolaunch,SLCH,14.20,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,TUPOLEV Tu-154,T154,7.65,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,XIAN Y-20 Kunpeng,Y20,10.04,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,YAKOVLEV Yak-40,YK40,8.69,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,3+ Engine,YAKOVLEV Yak-42,YK42,8.14,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,AERMACCHI M-345,M345,10.40,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,AERMACCHI MB-326,M326,13.13,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,AERMACCHI MB-339,M339,7.98,27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,AERO VODOCHODY L-159 ALCA,L159,9.48,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,AERO VODOCHODY L-29 Delfin,L29,10.71,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,AERO VODOCHODY L-39 Albatros,L39,7.69,183,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,AIR Epic Victory,EVIC,11.64,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,ALENIA AMX Ghibli,AMX,14.00,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,BAC 145 Jet Provost,JPRO,11.27,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,BAC Strikemaster,STRK,10.51,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,BEDE BD-5J Micro,BD5J,14.00,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,BOEING T-7 Red Hawk,BT7,11.26,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,BRITISH AEROSPACE AV-8 Harrier,HAR,9.36,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,BRITISH AEROSPACE Hawk,HAWK,5.55,260,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,CANADAIR CL-41 Tutor,CL41,10.77,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
